r0,r1,r2,r3,lower_bound,best_weight,optimal,seconds
8,31,24,29,10,10,1,28.85
8,19,24,15,10,10,1,27.57
8,6,24,27,10,10,1,21.46
8,28,24,28,10,10,1,26.62
8,25,24,23,10,10,1,31.44
8,20,24,17,10,10,1,24.58
8,2,24,13,10,10,1,25.53
8,7,24,12,10,10,1,27.27
8,4,24,7,10,10,1,32.98
8,19,24,22,10,10,1,23.26
8,29,24,14,10,10,1,34.95
8,19,24,7,10,10,1,21.19
8,16,24,4,10,10,1,27.19
8,31,24,22,10,10,1,23.69
8,13,24,10,10,10,1,26.64
8,17,24,16,10,10,1,29.71
8,11,24,14,10,10,1,26.41
8,22,24,4,10,10,1,22.16
8,27,24,13,10,10,1,25.14
8,30,24,18,10,10,1,30.72
8,12,24,30,10,10,1,22.83
8,29,24,27,10,10,1,30.92
8,22,24,18,10,10,1,24.06
16,16,8,25,7,9,0,8.91
8,1,24,11,10,10,1,23.95
8,20,24,28,10,10,1,20.99
8,13,24,29,10,10,1,23.16
8,10,24,1,10,10,1,29.13
8,6,24,7,10,10,1,26.94
8,28,24,11,10,10,1,36.64
8,26,24,19,10,10,1,19.25
8,26,24,5,10,10,1,30.61
16,16,8,5,7,9,0,3.26
16,19,8,18,12,12,1,69.3
16,25,8,4,12,12,1,73.26
16,11,8,2,12,12,1,75.95
16,14,8,3,12,12,1,66.37
16,13,8,28,12,12,1,75.84
16,26,8,5,12,12,1,60.28
16,27,8,5,10,11,0,17.34
16,17,8,27,12,12,1,69.68
16,9,8,12,12,12,1,73.32
16,11,8,11,12,12,1,78.15
16,4,8,10,12,12,1,74.62
16,8,8,28,10,11,0,30.1
16,31,8,20,12,12,1,75.24
16,25,8,31,12,12,1,56.5
16,23,8,29,12,12,1,58.49
16,3,8,30,12,12,1,57.72
16,11,16,20,7,8,0,3.95
16,15,16,4,7,8,0,5.04
16,9,16,7,7,8,0,4.62
16,26,16,20,7,8,0,5.09
16,25,16,29,7,8,0,4.6
16,18,16,28,7,8,0,4.36
16,23,16,16,7,8,0,4.25
16,22,16,12,7,8,0,5.3
16,9,16,6,7,8,0,5.59
16,18,16,7,7,9,0,4.95
16,10,16,7,7,8,0,6.04
16,8,16,12,7,8,0,3.75
16,3,16,27,7,8,0,2.64
16,9,16,3,7,8,0,4.14
16,25,16,15,7,8,0,7.58
16,18,8,8,12,12,1,68.28
16,3,8,24,12,12,1,73.37
16,2,8,3,12,12,1,77.58
16,5,8,6,12,12,1,71.85
16,6,8,30,12,12,1,67.13
16,18,8,7,12,12,1,87.22
16,9,8,25,12,12,1,76.23
16,11,8,20,12,12,1,70.07
16,11,8,4,12,12,1,69.59
16,20,8,19,12,12,1,71.54
16,26,8,30,12,12,1,78.23
16,13,8,3,12,12,1,75.13
16,8,8,19,10,11,0,29.7
16,3,8,31,12,12,1,81.95
16,29,8,10,12,12,1,72.92
16,30,8,4,12,12,1,73.99
16,3,16,21,7,8,0,3.14
16,19,16,21,7,8,0,4.45
16,11,16,31,7,8,0,5.37
16,8,16,13,7,8,0,4.61
16,31,16,10,7,8,0,7.04
16,2,16,11,7,8,0,5.64
16,6,16,11,7,8,0,4.21
16,26,16,28,7,8,0,4.19
16,15,8,29,10,11,0,34.27
16,9,8,4,12,12,1,90.11
16,26,8,2,12,12,1,73.12
16,27,8,10,12,12,1,77.51
16,1,8,20,12,12,1,76.34
16,22,8,1,12,12,1,62.78
16,3,8,14,12,12,1,67.59
16,4,8,27,12,12,1,60.83
16,29,8,26,12,12,1,65.7
16,2,8,7,12,12,1,79.43
16,8,8,26,10,11,0,32.53
16,19,8,14,12,12,1,75.95
16,6,8,4,12,12,1,75.26
16,15,8,6,10,11,0,25.97
16,22,8,8,12,12,1,65.78
16,6,8,24,12,12,1,62.71
16,16,16,28,0,6,0,1.51
16,28,16,5,7,8,0,4.68
16,4,16,17,7,8,0,4.49
16,11,16,3,7,8,0,4.91
16,17,16,31,7,8,0,4.03
16,22,16,6,7,8,0,3.47
16,6,16,25,7,8,0,4.51
16,5,16,5,7,8,0,3.66
16,13,16,3,7,8,0,4.01
16,9,16,18,7,8,0,3.37
16,28,16,3,7,8,0,4.48
16,24,16,3,7,8,0,7.21
16,1,16,21,7,8,0,5.85
16,1,16,10,7,8,0,4.6
16,25,16,26,7,8,0,5.33
16,12,16,16,7,8,0,3.21
16,19,16,29,7,8,0,5.11
16,30,16,10,7,8,0,6.01
16,8,16,11,7,8,0,4.58
16,4,16,18,7,8,0,4.38
16,20,16,19,7,8,0,6.12
16,3,16,8,7,8,0,5.71
16,8,16,1,7,8,0,3.83
16,26,16,8,7,8,0,4.74
16,28,8,4,10,11,0,29.83
16,14,8,30,12,12,1,76.44
16,31,8,13,12,12,1,65.88
16,26,8,18,12,12,1,88.52
16,30,8,27,12,12,1,87.16
16,10,8,18,12,12,1,71.58
16,9,8,23,10,11,0,20.69
16,16,8,11,7,9,0,6.05
16,27,16,28,7,8,0,5.76
16,11,16,10,7,8,0,5.23
16,4,16,23,7,8,0,4.47
16,17,16,27,7,8,0,4.87
16,30,16,20,7,8,0,4.64
16,10,16,5,7,8,0,2.46
16,29,16,7,7,8,0,4.98
16,5,16,18,7,8,0,4.95
16,30,16,24,7,8,0,6.87
16,2,16,25,7,8,0,3.25
16,11,16,27,7,8,0,5.62
16,29,16,20,7,9,0,3.87
16,26,16,22,7,8,0,4.56
16,30,16,18,7,8,0,2.94
16,27,16,31,7,8,0,3.93
16,24,16,23,7,8,0,4.09
16,4,8,7,12,12,1,74.77
16,21,8,11,10,11,0,22.09
16,2,8,1,12,12,1,78.22
16,1,8,26,12,12,1,77.53
16,30,8,10,12,12,1,67.94
16,24,8,20,10,11,0,30.98
16,11,8,15,12,12,1,63.47
16,13,8,11,12,12,1,64.94
16,7,16,6,7,8,0,4.27
16,10,16,14,7,8,0,5.72
16,18,16,6,7,8,0,5.65
16,2,16,23,7,8,0,3.02
16,28,16,22,7,8,0,3.68
16,8,24,9,10,11,0,27.83
16,25,24,3,12,12,1,71.76
16,22,24,31,12,12,1,74.17
16,15,24,26,10,11,0,34.21
16,14,24,18,10,11,0,33.59
16,9,24,18,12,12,1,74.64
16,15,24,28,10,11,0,22.05
16,18,24,15,12,12,1,64.48
16,1,24,13,12,12,1,73.43
16,27,24,11,12,12,1,67.46
16,6,24,9,12,12,1,69.58
16,16,24,1,7,9,0,3.42
16,26,24,21,12,12,1,64.81
16,30,24,14,12,12,1,74.03
16,19,24,1,12,12,1,64.13
16,2,24,23,12,12,1,68.3
16,12,24,19,12,12,1,66.89
16,5,24,19,12,12,1,61.97
16,5,24,5,12,12,1,67.52
16,11,24,18,12,12,1,71.32
16,20,24,30,12,12,1,66.89
16,24,24,30,10,11,0,26.68
16,21,24,9,12,12,1,69.95
16,21,24,8,12,12,1,80.3
16,2,24,30,10,11,0,30.65
16,3,24,25,12,12,1,57.66
16,17,24,21,12,12,1,65.98
16,30,24,15,12,12,1,64.86
16,30,24,22,12,12,1,61.42
16,21,24,24,12,12,1,71.64
16,8,24,8,10,11,0,28.09
16,11,24,16,12,12,1,66.76
16,22,24,16,12,12,1,57.74
16,31,24,8,12,12,1,74.15
16,23,24,14,12,12,1,63.88
16,9,24,27,12,12,1,77.82
16,9,24,13,12,12,1,66.15
16,19,24,13,10,11,0,32.88
16,6,24,20,12,12,1,63.08
16,3,24,8,12,12,1,62.93
16,6,24,17,12,12,1,63.02
16,11,24,17,12,12,1,62.42
16,29,24,21,12,12,1,71.58
16,24,24,15,10,11,0,29.77
16,20,24,3,12,12,1,69.16
16,28,24,4,10,11,0,29.56
16,29,24,20,12,12,1,66.47
16,31,24,17,12,12,1,65.09
16,6,24,5,12,12,1,63.87
16,9,24,14,12,12,1,68.33
16,7,24,31,12,12,1,66.08
16,29,24,12,12,12,1,67.4
16,25,24,26,12,12,1,79.04
16,29,24,7,12,12,1,78.15
16,10,24,10,12,12,1,65.68
16,23,24,10,12,12,1,77.57
16,28,24,18,12,12,1,64.39
16,12,24,6,12,12,1,59.28
16,23,24,23,12,12,1,60.78
