metric=r1 combos=1048576 done=11108 todo=1037468 procs=6
208000/1037468  2681.4s elapsed, 77.6/s, eta 10693s
210000/1037468  2708.8s elapsed, 77.5/s, eta 10674s
212000/1037468  2736.0s elapsed, 77.5/s, eta 10653s
214000/1037468  2764.2s elapsed, 77.4/s, eta 10637s
216000/1037468  2791.5s elapsed, 77.4/s, eta 10616s
218000/1037468  2816.2s elapsed, 77.4/s, eta 10586s
220000/1037468  2836.0s elapsed, 77.6/s, eta 10538s
222000/1037468  2860.9s elapsed, 77.6/s, eta 10509s
224000/1037468  2887.2s elapsed, 77.6/s, eta 10485s
226000/1037468  2914.9s elapsed, 77.5/s, eta 10466s
228000/1037468  2941.9s elapsed, 77.5/s, eta 10445s
230000/1037468  2970.3s elapsed, 77.4/s, eta 10428s
232000/1037468  2998.7s elapsed, 77.4/s, eta 10411s
234000/1037468  3027.0s elapsed, 77.3/s, eta 10394s
236000/1037468  3054.9s elapsed, 77.3/s, eta 10375s
238000/1037468  3084.5s elapsed, 77.2/s, eta 10361s
240000/1037468  3111.7s elapsed, 77.1/s, eta 10339s
242000/1037468  3139.5s elapsed, 77.1/s, eta 10320s
