# 1.5-round weight-12 class from screen_r1c_cands.csv
16,12,8,7
8,2,16,10
8,20,16,19
8,21,16,6
8,6,16,17
8,18,16,30
8,28,16,18
8,1,16,13
8,26,16,28
8,27,16,31
8,29,16,31
8,26,16,5
8,17,16,25
8,18,16,7
8,17,16,12
8,31,16,28
8,19,16,12
8,15,16,30
8,9,16,22
8,18,16,20
8,31,16,24
8,14,16,31
8,2,16,16
8,28,16,12
8,19,16,18
8,7,16,31
8,17,16,14
8,12,16,14
8,12,16,1
8,18,16,18
8,20,16,26
8,20,16,11
8,15,16,20
8,1,16,26
8,6,16,18
8,1,16,25
8,25,16,9
8,4,16,26
8,20,16,6
8,12,16,10
8,3,16,6
8,6,16,9
8,19,16,6
8,28,16,3
8,26,16,18
8,27,16,30
8,9,16,2
8,22,16,3
8,3,16,28
8,1,16,15
8,17,16,31
8,6,16,22
8,9,16,21
8,15,16,23
8,11,16,16
8,1,16,10
8,13,16,11
8,14,16,26
16,19,8,18
16,25,8,4
16,11,8,2
16,14,8,3
16,13,8,28
16,26,8,5
16,17,8,27
16,9,8,12
16,11,8,11
16,4,8,10
16,31,8,20
16,25,8,31
16,23,8,29
16,3,8,30
16,18,8,8
16,3,8,24
16,2,8,3
16,5,8,6
16,6,8,30
16,18,8,7
16,9,8,25
16,11,8,20
16,11,8,4
16,20,8,19
16,26,8,30
16,13,8,3
16,3,8,31
16,29,8,10
16,30,8,4
16,9,8,4
16,26,8,2
16,27,8,10
16,1,8,20
16,22,8,1
16,3,8,14
16,4,8,27
16,29,8,26
16,2,8,7
16,19,8,14
16,6,8,4
16,22,8,8
16,6,8,24
16,14,8,30
16,31,8,13
16,26,8,18
16,30,8,27
16,10,8,18
16,4,8,7
16,2,8,1
16,1,8,26
16,30,8,10
16,11,8,15
16,13,8,11
16,25,24,3
16,22,24,31
16,9,24,18
16,18,24,15
16,1,24,13
16,27,24,11
16,6,24,9
16,26,24,21
16,30,24,14
16,19,24,1
16,2,24,23
16,12,24,19
16,5,24,19
16,5,24,5
16,11,24,18
16,20,24,30
16,21,24,9
16,21,24,8
16,3,24,25
16,17,24,21
16,30,24,15
16,30,24,22
16,21,24,24
16,11,24,16
16,22,24,16
16,31,24,8
16,23,24,14
16,9,24,27
16,9,24,13
16,6,24,20
16,3,24,8
16,6,24,17
16,11,24,17
16,29,24,21
16,20,24,3
16,29,24,20
16,31,24,17
16,6,24,5
16,9,24,14
16,7,24,31
16,29,24,12
16,25,24,26
16,29,24,7
16,10,24,10
16,23,24,10
16,28,24,18
16,12,24,6
16,23,24,23
16,19,24,24
16,2,24,16
16,22,24,13
16,23,24,21
16,12,24,13
16,17,24,28
16,6,24,18
24,13,16,13
24,1,16,9
24,21,16,20
24,13,16,11
24,26,16,24
24,22,16,19
24,21,16,30
24,31,16,21
24,10,16,21
24,1,16,14
24,5,16,21
24,25,16,30
24,12,16,17
24,1,16,22
24,14,16,13
24,11,16,28
24,20,16,19
24,29,16,31
24,15,16,20
24,27,16,17
24,14,16,30
24,10,16,23
24,6,16,15
24,20,16,22
24,17,16,7
24,13,16,26
24,9,16,28
24,6,16,25
24,3,16,27
24,25,16,20
24,1,16,12
24,30,16,9
24,26,16,23
24,14,16,28
24,22,16,18
24,10,16,5
24,15,16,27
24,9,16,16
24,17,16,2
24,9,16,17
24,4,16,24
24,19,16,14
24,3,16,12
24,3,16,22
24,15,16,1
24,6,16,17
24,23,16,31
24,6,16,23
24,3,16,13
24,21,16,23
24,9,16,20
24,10,16,7
24,11,16,9
24,3,16,3
27,10,15,18
19,4,30,7
3,2,1,26
1,28,16,11
10,30,7,13
18,21,17,2
29,12,18,14
18,7,23,29
20,24,25,3
25,4,14,3
7,1,16,21
5,24,9,22
27,28,7,22
15,13,11,21
9,9,21,21
8,8,2,19
6,29,27,25
21,5,26,30
1,1,13,5
29,22,18,2
3,15,21,27
10,29,1,2
18,2,17,27
9,6,4,5
14,28,2,2
21,3,30,27
4,11,2,5
18,2,15,22
5,29,13,25
27,10,24,6
11,4,14,12
5,19,3,2
10,27,26,21
24,24,17,17
14,27,8,17
18,7,11,30
11,17,26,13
31,29,19,16
28,27,19,23
17,18,1,29
23,29,29,15
1,24,17,9
3,9,26,11
3,10,2,28
13,2,24,9
11,24,5,9
1,17,4,5
11,30,24,11
26,11,19,3
15,9,16,15
13,27,29,30
3,30,19,26
15,19,5,18
1,14,24,22
19,2,12,14
29,25,22,1
28,1,13,9
16,19,28,9
26,8,23,19
24,11,12,31
26,21,12,13
10,15,20,11
18,17,6,1
5,9,22,8
19,5,30,4
27,9,14,7
1,24,18,25
13,17,29,16
3,13,20,29
17,26,19,19
14,2,12,28
10,23,23,21
24,20,2,26
4,18,22,9
23,4,7,9
3,21,19,17
21,3,28,3
26,28,7,21
27,6,17,28
1,18,4,27
10,17,29,24
11,25,18,21
19,18,10,17
30,31,17,14
20,21,19,10
15,10,5,17
14,1,19,12
29,28,16,23
26,10,8,29
7,20,16,28
29,29,8,14
15,22,12,18
30,31,7,26
16,24,3,27
15,9,26,26
12,21,24,28
16,25,11,13
15,26,4,16
12,5,14,5
1,6,27,9
12,28,5,19
26,10,31,14
24,4,9,22
26,23,28,2
26,7,22,21
17,16,29,13
9,31,17,10
24,14,23,9
14,11,25,30
16,7,23,27
16,31,13,23
14,3,3,5
7,31,5,8
24,1,4,9
25,24,22,12
30,29,31,23
9,2,18,21
15,10,25,29
14,5,5,9
20,29,31,2
18,27,20,17
5,31,14,9
11,6,20,25
6,24,29,19
5,16,25,31
4,13,21,24
6,27,1,3
14,20,31,2
12,2,31,21
30,4,24,18
22,14,27,22
23,15,18,5
2,17,11,17
23,5,21,25
26,29,7,11
4,5,29,5
21,18,27,23
4,5,13,20
29,23,7,6
17,9,14,24
29,30,18,10
28,16,21,29
26,18,30,7
